city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
kruisfontein,za,2017-09-09 10:37:11,24.73,-34.0,60.83,93.0,0.0,9.86
kudahuvadhoo,mv,2017-09-09 10:37:11,72.89,2.67,83.69,100.0,8.0,11.99
kuito,ao,2017-09-09 10:37:12,16.93,-12.38,68.39,20.0,0.0,5.95
kulunda,ru,2017-09-09 10:37:12,78.94,52.57,55.52,58.0,92.0,12.66
kumluca,tr,2017-09-09 10:37:12,30.29,36.37,62.63,63.0,0.0,1.14
kuusamo,fi,2017-09-09 09:50:00,29.18,65.97,44.6,93.0,90.0,11.41
lago da pedra,br,2017-09-09 10:37:13,-45.17,-4.33,97.28,35.0,0.0,8.75
lagoa,pt,2017-09-09 10:37:13,-27.98,39.05,72.26,100.0,88.0,9.64
laguna,br,2017-09-09 10:37:13,-48.78,-28.48,70.28,84.0,68.0,20.71
lambarene,ga,2017-09-09 10:37:14,10.24,-0.7,77.39,88.0,92.0,4.38
lamu,ke,2017-09-09 10:37:14,40.9,-2.27,77.84,84.0,80.0,19.26
lasa,cn,2017-09-09 10:20:00,10.7,46.62,69.8,87.0,75.0,8.05
lavumisa,sz,2017-09-09 10:37:19,31.89,-27.31,70.1,75.0,0.0,3.94
le port,re,2017-09-09 10:00:00,55.29,-20.94,71.6,64.0,0.0,13.87
lebu,cl,2017-09-09 10:37:20,-73.65,-37.62,52.01,100.0,0.0,23.51
leh,in,2017-09-09 10:37:20,77.58,34.17,22.4,79.0,0.0,1.36
lekoni,ga,2017-09-09 10:37:20,14.26,-1.58,77.57,80.0,76.0,3.38
lepaterique,hn,2017-09-09 10:00:00,-87.47,14.07,84.2,51.0,75.0,11.41
lerik,az,2017-09-09 10:00:00,48.41,38.77,77.0,73.0,40.0,5.82
lilongwe,mw,2017-09-09 09:00:00,33.79,-13.97,71.6,37.0,0.0,9.17
lincoln,us,2017-09-09 10:15:00,-96.67,40.8,82.4,42.0,1.0,13.87
linhares,br,2017-09-09 10:37:22,-40.07,-19.39,74.6,75.0,92.0,10.98
loandjili,cg,2017-09-09 10:00:00,11.86,-4.76,77.0,83.0,90.0,6.93
longlac,ca,2017-09-09 10:00:00,-86.88,49.72,62.6,51.0,20.0,14.99
longyearbyen,sj,2017-09-09 09:50:00,15.64,78.22,42.8,87.0,40.0,2.24
los llanos de aridane,es,2017-09-09 10:00:00,-17.92,28.66,77.0,69.0,75.0,13.87
lowestoft,gb,2017-09-09 09:50:00,1.75,52.48,57.2,82.0,40.0,6.93
luanda,ao,2017-09-09 10:00:00,13.23,-8.84,73.4,78.0,40.0,8.05
lubin,pl,2017-09-09 10:00:00,16.2,51.4,71.6,53.0,0.0,6.93
luderitz,na,2017-09-09 10:00:00,15.16,-26.65,69.8,56.0,0.0,9.17
maceio,br,2017-09-09 10:00:00,-35.74,-9.67,73.4,94.0,75.0,18.34
mahajanga,mg,2017-09-09 10:00:00,46.32,-15.72,82.4,51.0,20.0,14.99
mahebourg,mu,2017-09-09 10:00:00,57.7,-20.41,73.4,60.0,75.0,17.22
mahibadhoo,mv,2017-09-09 10:37:25,72.97,3.78,82.52,100.0,8.0,15.68
malanje,ao,2017-09-09 10:37:25,16.34,-9.54,73.34,66.0,8.0,5.61
maloy,no,2017-09-09 09:50:00,5.11,61.94,55.4,76.0,88.0,4.7
malumfashi,ng,2017-09-09 10:37:26,7.62,11.79,81.26,72.0,8.0,3.38
mana,gf,2017-09-09 10:37:26,-53.78,5.66,95.84,41.0,0.0,3.38
manakara,mg,2017-09-09 10:37:26,48.02,-22.13,69.29,95.0,24.0,8.75
