city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
mayor pablo lagerenza,py,2017-10-27 10:10:59,-60.78,-19.92,97.29,43.0,76.0,18.95
mayumba,ga,2017-10-27 10:10:59,10.66,-3.43,77.99,93.0,92.0,9.1
mazagao,br,2017-10-27 09:00:00,-51.29,-0.12,96.8,44.0,40.0,16.11
mbanza-ngungu,cd,2017-10-27 10:06:50,14.87,-5.25,75.65,83.0,68.0,6.02
mbekenyera,tz,2017-10-27 10:11:00,38.98,-10.0,76.59,71.0,32.0,5.3
meaford,ca,2017-10-27 09:00:00,-80.58,44.6,50.0,81.0,90.0,12.75
megion,ru,2017-10-27 09:30:00,76.11,61.03,26.6,86.0,90.0,11.18
mehamn,no,2017-10-27 09:50:00,27.85,71.04,39.2,80.0,75.0,17.22
mendi,et,2017-10-27 10:11:01,35.1,9.8,63.0,91.0,12.0,2.55
mendoza,ar,2017-10-27 09:00:00,-68.83,-32.89,75.2,17.0,0.0,10.29
mercedes,ar,2017-10-27 10:11:02,-59.43,-34.65,66.69,83.0,12.0,14.58
merrill,us,2017-10-27 10:00:00,-89.68,45.18,35.6,83.0,90.0,9.17
meulaboh,id,2017-10-27 10:08:49,96.13,4.14,75.87,100.0,100.0,4.9
mindelo,cv,2017-10-27 10:11:03,-24.98,16.89,81.95,86.0,0.0,4.12
miraflores,co,2017-10-27 10:11:04,-71.95,1.34,94.1,45.0,32.0,2.84
